TRP-10003|Noruega|Francia|467.1|3|en_curso|Oscar Nunez|11097684|54789005|28/06/2026
TRP-00129|Amsterdam|Barcelona|211.45|1|completado|Leandro Farfan|90776217|99001328|19/05/2026
TRP-00130|Lima|Huancayo|211.34|3|completado|Leandro Farfan|90776217|10111429|10/04/2026
TRP-00131|Rome|Paris|211.77|2|completado|Leandro Farfan|90776217|21323530|05/05/2026
TRP-00132|London|Barcelona|211.31|1|completado|Leandro Farfan|90776217|32434631|01/05/2026
TRP-00133|Trujillo|Cajamarca|212.46|2|completado|Leandro Farfan|90776217|43545732|19/05/2026
TRP-00134|Madrid|Piura|206.23|1|completado|Leandro Farfan|90776217|54656833|07/04/2026
TRP-00135|Huancayo|Trujillo|56.36|2|completado|Emiliano Rosales|74877945|65767934|16/03/2026
TRP-00136|Trujillo|Milan|54.28|2|completado|Emiliano Rosales|74877945|76879035|18/03/2026
TRP-00137|Chiclayo|Arequipa|55.31|2|completado|Emiliano Rosales|74877945|87990136|16/03/2026
TRP-00138|Madrid|Amsterdam|54.1|2|completado|Emiliano Rosales|74877945|98901237|09/05/2026
TRP-00139|Milan|Chiclayo|56.2|3|completado|Emiliano Rosales|74877945|12012338|11/04/2026
TRP-00140|Cusco|Huancayo|56.4|3|completado|Emiliano Rosales|74877945|23123439|10/03/2026
TRP-00141|Trujillo|Cajamarca|55.25|2|completado|Emiliano Rosales|74877945|34234540|28/03/2026
TRP-00142|Rome|Trujillo|99.15|3|completado|Ximeno Rojas|69064728|45345641|28/03/2026
TRP-00143|Barcelona|Arequipa|98.68|2|completado|Ximeno Rojas|69064728|56456742|12/04/2026
TRP-00144|London|Milan|99.71|2|completado|Ximeno Rojas|69064728|67567843|13/05/2026
TRP-00145|Iquitos|Junin|100.05|3|completado|Ximeno Rojas|69064728|78678944|30/04/2026
TRP-00146|Milan|London|97.61|2|completado|Ximeno Rojas|69064728|89789045|27/04/2026
TRP-00147|Barcelona|Paris|99.43|3|completado|Ximeno Rojas|69064728|90890146|12/03/2026
TRP-00148|London|Barcelona|98.6|2|completado|Ximeno Rojas|69064728|10901247|06/03/2026
TRP-00149|Lima|Milan|99.83|3|completado|Ximeno Rojas|69064728|21012348|20/04/2026
TRP-00150|Cusco|Iquitos|94.84|2|completado|Ximeno Rojas|69064728|32123449|13/03/2026
TRP-00151|Huanuco|Huancayo|214.04|3|completado|Carlos Ccahuana|12357998|43234550|25/03/2026
TRP-00152|Milan|Paris|213.66|2|completado|Carlos Ccahuana|12357998|54345651|12/05/2026
TRP-00153|Lima|Junin|214.58|3|completado|Carlos Ccahuana|12357998|65456752|02/05/2026
TRP-00154|Trujillo|Piura|210.12|1|completado|Carlos Ccahuana|12357998|76567853|01/05/2026
TRP-00155|Rome|Huancayo|81.19|3|completado|Patricio Quispe|52252326|87678954|10/05/2026
TRP-00156|Cusco|Cajamarca|79.72|3|completado|Patricio Quispe|52252326|98789055|09/03/2026
TRP-00157|Iquitos|Tacna|80.72|3|completado|Patricio Quispe|52252326|12890156|28/04/2026
TRP-00158|Paris|Huanuco|79.6|2|completado|Patricio Quispe|52252326|23901257|26/04/2026
TRP-00159|Huancayo|Huanuco|79.09|2|completado|Patricio Quispe|52252326|34012358|16/05/2026
TRP-00160|Huanuco|Milan|79.68|3|completado|Patricio Quispe|52252326|45123459|01/03/2026
TRP-00161|Arequipa|Huancayo|78.99|2|completado|Patricio Quispe|52252326|56234560|25/03/2026
TRP-00162|Huanuco|Paris|80.97|3|completado|Patricio Quispe|52252326|67345661|14/03/2026
TRP-00163|Junin|Arequipa|80.48|3|completado|Patricio Quispe|52252326|78456762|18/03/2026
TRP-00164|Iquitos|Amsterdam|79.43|2|completado|Patricio Quispe|52252326|89567863|28/03/2026
TRP-00165|Junin|Madrid|79.94|2|completado|Patricio Quispe|52252326|90678964|15/05/2026
TRP-00166|Lima|Piura|78.51|3|completado|Patricio Quispe|52252326|10789065|15/03/2026
TRP-00167|Amsterdam|Huancayo|80.14|1|completado|Patricio Quispe|52252326|21890166|20/03/2026
TRP-00168|London|Barcelona|79.12|2|completado|Patricio Quispe|52252326|32901267|08/05/2026
TRP-00169|Berlin|Trujillo|81.52|2|completado|Patricio Quispe|52252326|43012368|18/03/2026
TRP-00170|Lima|Tacna|76.55|2|completado|Hector Olano|67577389|54123469|26/03/2026
TRP-00171|Barcelona|Cajamarca|77.51|1|completado|Hector Olano|67577389|65234570|28/04/2026
TRP-00172|Cajamarca|Barcelona|76.37|1|completado|Hector Olano|67577389|76345671|26/03/2026
TRP-00173|Milan|Piura|75.81|1|completado|Hector Olano|67577389|87456772|16/04/2026
TRP-00174|Junin|Huanuco|75.37|3|completado|Hector Olano|67577389|98567873|01/05/2026
TRP-00175|Barcelona|Berlin|77.22|1|completado|Hector Olano|67577389|12678974|07/03/2026
TRP-00176|Huancayo|Amsterdam|77.06|2|completado|Hector Olano|67577389|23789075|19/05/2026
TRP-00177|Rome|Milan|75.9|1|completado|Hector Olano|67577389|34890176|24/04/2026
TRP-00178|Berlin|Arequipa|75.82|1|completado|Hector Olano|67577389|45901277|07/05/2026
TRP-00179|Junin|London|77.44|1|completado|Hector Olano|67577389|56012378|04/04/2026
TRP-00180|Trujillo|Lima|76.31|2|completado|Hector Olano|67577389|67123479|08/04/2026
TRP-00181|Rome|Amsterdam|76.43|1|completado|Hector Olano|67577389|78234580|11/04/2026
TRP-00182|Huanuco|Trujillo|75.21|3|completado|Hector Olano|67577389|89345681|02/04/2026
TRP-00183|Madrid|Cajamarca|166.6|3|completado|Renzo Quenaya|50033385|90456782|18/03/2026
TRP-00184|Amsterdam|Rome|166.97|1|completado|Renzo Quenaya|50033385|10567883|16/03/2026
TRP-00185|Barcelona|Lima|166.76|1|completado|Renzo Quenaya|50033385|21678984|07/05/2026
TRP-00186|Barcelona|Cajamarca|169.27|1|completado|Renzo Quenaya|50033385|32789085|01/05/2026
TRP-00187|Junin|Rome|34.94|3|completado|Pablo Chavez|29263493|43890186|29/04/2026
TRP-00188|Chiclayo|Lima|35.52|2|completado|Pablo Chavez|29263493|54901287|17/04/2026
TRP-00189|Huancayo|Tacna|34.47|1|completado|Pablo Chavez|29263493|65012388|08/05/2026
TRP-00190|Lima|Arequipa|38.07|2|completado|Pablo Chavez|29263493|76123489|28/03/2026
TRP-00191|Milan|Amsterdam|161.49|2|completado|Ruben Tapia|36794755|87234590|14/04/2026
TRP-00192|London|Rome|162.04|3|completado|Ruben Tapia|36794755|98345691|30/04/2026
TRP-00193|Paris|Madrid|160.55|2|completado|Ruben Tapia|36794755|12456792|02/05/2026
TRP-00194|Trujillo|Chiclayo|161.25|2|completado|Ruben Tapia|36794755|23567893|08/03/2026
TRP-00195|Trujillo|Piura|164.77|1|completado|Ruben Tapia|36794755|34678994|09/04/2026
TRP-00196|Junin|Iquitos|68.4|3|completado|Jhonny Jimenez|44264220|45789095|02/04/2026
TRP-00197|London|Arequipa|69.31|3|completado|Jhonny Jimenez|44264220|56890196|13/03/2026
TRP-00198|Barcelona|Trujillo|68.39|2|completado|Jhonny Jimenez|44264220|67901297|11/04/2026
TRP-00199|London|Paris|70.45|3|completado|Jhonny Jimenez|44264220|78012398|28/03/2026
TRP-00200|London|Milan|70.52|2|completado|Jhonny Jimenez|44264220|89123499|02/03/2026
TRP-00201|Paris|Barcelona|68.96|3|completado|Jhonny Jimenez|44264220|90234500|22/04/2026
TRP-00202|Amsterdam|Milan|70.29|2|completado|Jhonny Jimenez|44264220|10345601|10/03/2026
TRP-00203|Amsterdam|London|70.16|1|completado|Jhonny Jimenez|44264220|21456702|27/04/2026
TRP-00204|Lima|Huanuco|68.32|3|completado|Jhonny Jimenez|44264220|32567803|17/03/2026
TRP-00205|Tacna|Lima|68.79|3|completado|Jhonny Jimenez|44264220|43678904|11/05/2026
TRP-00206|Barcelona|Trujillo|72.81|2|completado|Jhonny Jimenez|44264220|54789005|20/04/2026
TRP-00207|Chiclayo|Cusco|90.65|1|completado|Franco Reyes|44355146|65890106|13/05/2026
TRP-00208|Lima|London|91.82|2|completado|Franco Reyes|44355146|76901207|13/03/2026
TRP-00209|Cusco|Trujillo|91.06|1|completado|Franco Reyes|44355146|87012308|01/04/2026
TRP-00210|Piura|Trujillo|90.77|3|completado|Franco Reyes|44355146|98123409|27/04/2026
TRP-00211|Milan|Iquitos|158.1|2|completado|Pedro Inca|58081780|12234510|27/03/2026
TRP-00212|Paris|Huanuco|157.04|3|completado|Pedro Inca|58081780|23345611|08/04/2026
TRP-00213|Lima|Huancayo|158.55|1|completado|Pedro Inca|58081780|34456712|11/04/2026
TRP-00214|Berlin|Madrid|156.18|2|completado|Pedro Inca|58081780|45567813|08/03/2026
TRP-00215|Trujillo|Huanuco|158.23|3|completado|Pedro Inca|58081780|56678914|08/05/2026
TRP-00216|Barcelona|Madrid|99.29|2|completado|Mauricio Velasquez|87735168|67789015|10/05/2026
TRP-00217|Tacna|Huancayo|101.6|2|completado|Mauricio Velasquez|87735168|78890116|04/04/2026
TRP-00218|Paris|London|100.79|2|completado|Mauricio Velasquez|87735168|89901217|17/03/2026
TRP-00219|Junin|Iquitos|101.53|2|completado|Mauricio Velasquez|87735168|90012318|19/04/2026
TRP-00220|Huancayo|Cajamarca|101.59|3|completado|Mauricio Velasquez|87735168|11123419|29/03/2026
TRP-00221|Iquitos|Huanuco|101.51|1|completado|Mauricio Velasquez|87735168|12345611|01/05/2026
TRP-00222|Cusco|Arequipa|101.81|1|completado|Mauricio Velasquez|87735168|87654312|24/04/2026
TRP-00223|London|Cusco|94.48|1|completado|Mauricio Velasquez|87735168|23456712|13/04/2026
TRP-00224|Iquitos|Arequipa|98.92|1|completado|Junior Robles|71724633|34567813|08/04/2026
TRP-00225|Huancayo|Junin|97.96|2|completado|Junior Robles|71724633|45678914|30/03/2026
TRP-00226|Iquitos|Berlin|97.05|2|completado|Junior Robles|71724633|56789015|26/04/2026
TRP-00227|Trujillo|Madrid|97.62|3|completado|Junior Robles|71724633|67890116|01/05/2026
TRP-00228|Barcelona|Paris|96.98|1|completado|Junior Robles|71724633|78901217|23/04/2026
TRP-00229|Iquitos|Junin|98.6|2|completado|Junior Robles|71724633|89012318|17/03/2026
TRP-00230|Berlin|Cusco|98.11|3|completado|Junior Robles|71724633|90123419|02/05/2026
TRP-00231|Milan|Chiclayo|96.93|2|completado|Junior Robles|71724633|11223520|04/05/2026
TRP-00232|Arequipa|Huanuco|99.06|3|completado|Junior Robles|71724633|22334621|01/03/2026
TRP-00233|Cajamarca|Barcelona|97.32|2|completado|Junior Robles|71724633|33445722|11/03/2026
TRP-00234|Milan|Huanuco|98.96|2|completado|Junior Robles|71724633|44556823|20/05/2026
TRP-00235|Amsterdam|Rome|97.45|1|completado|Junior Robles|71724633|55667924|13/05/2026
TRP-00236|Junin|Piura|99.37|2|completado|Junior Robles|71724633|66778025|10/04/2026
TRP-00237|Tacna|Junin|99.11|3|completado|Junior Robles|71724633|77889126|20/03/2026
TRP-00238|Huanuco|Madrid|99.76|2|completado|Junior Robles|71724633|88990227|02/04/2026
TRP-00239|Cusco|Barcelona|75.87|1|completado|Nicolas Ticona|77451454|99001328|01/04/2026
TRP-00240|Cajamarca|Barcelona|77.65|2|completado|Nicolas Ticona|77451454|10111429|07/05/2026
TRP-00241|Milan|Junin|75.74|2|completado|Nicolas Ticona|77451454|21323530|18/05/2026
TRP-00242|Arequipa|Tacna|79.54|3|completado|Nicolas Ticona|77451454|32434631|04/03/2026
TRP-00243|Arequipa|Huancayo|137.98|2|completado|Emiliano Rivera|27101553|43545732|25/03/2026
TRP-00244|London|Madrid|139.2|1|completado|Emiliano Rivera|27101553|54656833|10/04/2026
TRP-00245|Lima|Tacna|138.24|2|completado|Emiliano Rivera|27101553|65767934|05/03/2026
TRP-00246|Rome|Lima|138.53|3|completado|Emiliano Rivera|27101553|76879035|28/03/2026
TRP-00247|Cusco|Berlin|138.7|2|completado|Emiliano Rivera|27101553|87990136|10/04/2026
TRP-00248|Cusco|Madrid|139.24|1|completado|Emiliano Rivera|27101553|98901237|01/05/2026
TRP-00249|Huancayo|Tacna|140.17|1|completado|Emiliano Rivera|27101553|12012338|01/03/2026
TRP-00250|Rome|Cajamarca|138.16|3|completado|Emiliano Rivera|27101553|23123439|17/04/2026
TRP-00251|Cajamarca|Madrid|139.01|3|completado|Emiliano Rivera|27101553|34234540|21/04/2026
TRP-00252|Tacna|Chiclayo|139.42|2|completado|Emiliano Rivera|27101553|45345641|29/04/2026
TRP-00253|Paris|Tacna|138.35|1|completado|Emiliano Rivera|27101553|56456742|09/03/2026
TRP-00254|Trujillo|Iquitos|140.4|3|completado|Emiliano Rivera|27101553|67567843|04/03/2026
TRP-00255|Paris|Arequipa|58.15|3|completado|Ruben Zapata|67220663|78678944|28/04/2026
TRP-00256|Arequipa|Madrid|57.93|2|completado|Ruben Zapata|67220663|89789045|29/04/2026
TRP-00257|Tacna|Madrid|58.16|2|completado|Ruben Zapata|67220663|90890146|04/05/2026
TRP-00258|Rome|Chiclayo|57.58|1|completado|Ruben Zapata|67220663|10901247|05/03/2026
TRP-00259|Paris|Huancayo|58.87|2|completado|Ruben Zapata|67220663|21012348|19/03/2026
TRP-00260|Trujillo|Tacna|56.87|2|completado|Ruben Zapata|67220663|32123449|30/03/2026
TRP-00261|Huancayo|Berlin|56.71|2|completado|Ruben Zapata|67220663|43234550|27/04/2026
TRP-00262|Junin|Huanuco|56.87|1|completado|Ruben Zapata|67220663|54345651|01/03/2026
TRP-00263|Milan|Huancayo|57.75|2|completado|Ruben Zapata|67220663|65456752|25/04/2026
TRP-00264|Huanuco|Paris|54.91|3|completado|Ruben Zapata|67220663|76567853|05/03/2026
TRP-00265|Chiclayo|Amsterdam|24.96|1|completado|Brayan Ramos|36505873|87678954|20/05/2026
TRP-00266|Lima|Huancayo|26.2|1|completado|Brayan Ramos|36505873|98789055|14/05/2026
TRP-00267|Huanuco|Paris|24.94|2|completado|Brayan Ramos|36505873|12890156|07/03/2026
TRP-00268|Paris|Trujillo|25.06|1|completado|Brayan Ramos|36505873|23901257|21/04/2026
TRP-00269|Paris|Chiclayo|25.98|2|completado|Brayan Ramos|36505873|34012358|17/03/2026
TRP-00270|Berlin|Huanuco|27.09|2|completado|Brayan Ramos|36505873|45123459|28/03/2026
TRP-00271|Berlin|London|27.37|1|completado|Brayan Ramos|36505873|56234560|31/03/2026
TRP-00272|Trujillo|Iquitos|26.36|2|completado|Brayan Ramos|36505873|67345661|12/05/2026
